Node1	Node3	Node6	Node9	year	month	Date
1.2526788153173667	1.1177797151927291	0.315601441270761	1.1588092888853077	1950	1	1950-01-01
1.9251503093108004	2.3421090044286688	1.813162046759781	0.4515076594438132	1950	2	1950-02-01
0.3265922335732799	0.3944851013605137	0.3011062706279881	-1.0828445678079923	1950	3	1950-03-01
-0.0412187245461236	0.1160266967523478	-0.1353068299608707	-0.4560211230340754	1950	4	1950-04-01
-1.423917461825459	-1.2254949009098348	-1.2250537275772269	-1.2560653640645667	1950	5	1950-05-01
-0.1409996619064401	-0.5478232401352584	0.2002670093328411	0.3133886713272237	1950	6	1950-06-01
-0.471295946457747	-0.4694343453344061	-0.3929627290635197	0.1265141907236763	1950	7	1950-07-01
-0.3525666728367804	-0.3622882331044968	-0.4957111993622973	0.7932447402270053	1950	8	1950-08-01
0.4955847847416122	0.7266702691443827	0.6026434425026561	1.1393295612648122	1950	9	1950-09-01
0.1782561850472332	0.0059907923858837	-0.2624876593454925	0.3967675315929972	1950	10	1950-10-01
0.0468736332062545	-0.6755634785393374	-0.4292241267354437	-0.0344170797153876	1950	11	1950-11-01
-0.2252853287882024	-0.5627889040029251	-0.4558752269517802	-0.2004938370943215	1950	12	1950-12-01
1.4769799422020096	1.6467647224429207	1.1063848584241298	0.969421439416088	1951	1	1951-01-01
1.3645335301271564	1.461410447349208	0.7866920441190074	1.054308828628772	1951	2	1951-02-01
-1.486473009208552	-1.9518920794897443	-2.0024354021153767	-2.426574694300065	1951	3	1951-03-01
-1.0187094756131936	-1.6317914971433864	-1.1504903419621828	-1.6693995151866974	1951	4	1951-04-01
-1.664088234109559	-1.1186195781340746	-1.3141106577324149	-0.9815541345801254	1951	5	1951-05-01
-1.0713444942026218	-1.157683388374558	-1.0295924680704795	-1.1454319377138773	1951	6	1951-06-01
-0.1128737073322381	-0.0808885166950046	0.2995160324447485	0.826385534166852	1951	7	1951-07-01
-0.0271719744241275	0.0747126452454414	-0.0820546700300953	0.6712356138371336	1951	8	1951-08-01
-0.2266128097314506	-0.6607200331846631	-0.577359419871483	-0.4003384901185995	1951	9	1951-09-01
0.0869706998513938	-0.0180174925913846	-0.6824681859270374	-0.2647263731815437	1951	10	1951-10-01
0.6306073253432259	0.5432626376854988	0.7435630759710216	0.7570539086502875	1951	11	1951-11-01
2.398228593102788	1.9812151526828	2.439805832796649	1.4315095607000046	1951	12	1951-12-01
1.731270342520145	1.926074263723876	2.089457863801602	1.5377450485732178	1952	1	1952-01-01
-0.8638868238952149	-0.6245830719954656	-0.9286921132941268	-1.486134702539223	1952	2	1952-02-01
-1.2975989648436128	-1.598872076699901	-2.140816085282097	-2.5848955270978093	1952	3	1952-03-01
0.2609379741154381	0.229880904382694	0.0993785308273602	-0.3352719016092692	1952	4	1952-04-01
-1.6739235396683314	-1.9569632320369437	-1.6940145719194986	-1.7406715791928589	1952	5	1952-05-01
-0.2692232054867625	-0.5408442219788492	0.047727141352398	-0.010232432878844	1952	6	1952-06-01
-0.1282639912005534	-0.0997924877338425	0.2353011041094136	0.7923377284688691	1952	7	1952-07-01
-0.5543517137005377	-0.3740508724963334	-0.0706486211262743	0.2967522769967435	1952	8	1952-08-01
-0.8855879598404746	-0.4869684459370936	-0.282056872634981	0.1252740512428883	1952	9	1952-09-01
0.0072781792514717	-0.3366977119886468	-0.4192400402765871	0.4766480172984316	1952	10	1952-10-01
-0.8701558731044159	-0.917531027657248	-1.0309697151881625	-0.5004620935721029	1952	11	1952-11-01
-0.0298911257159294	-0.4583534539665755	-0.4796356360845673	-0.3163772851196211	1952	12	1952-12-01
0.4960032905150904	0.4558514161588696	0.4201751694469956	0.3051122213563005	1953	1	1953-01-01
0.3193241414961714	0.4982458965540866	0.2305145318982103	0.0272871448547699	1953	2	1953-02-01
0.1658643606805108	-0.3255470702272546	0.0123912167451835	-0.7145071199363264	1953	3	1953-03-01
-1.3998566263546084	-2.162364837671044	-1.664492984983807	-2.179378549934095	1953	4	1953-04-01
-1.3088944444175907	-0.909890102267132	-1.1708363378373303	-1.271278589818806	1953	5	1953-05-01
-0.5572100758246743	0.0743433858408989	-0.3296653288226617	0.7845673338985342	1953	6	1953-06-01
0.1912305742916301	0.3941131422421725	0.6608368115952046	1.0165227299824808	1953	7	1953-07-01
-0.0893502404240958	0.0445163853717144	-0.0982522428950339	0.461107619991611	1953	8	1953-08-01
-0.0696506066100061	-0.1404325061412947	-0.0329732544042121	0.3353007613585821	1953	9	1953-09-01
0.5032925223865058	0.5093673140105897	0.0020315874363022	0.636285585789797	1953	10	1953-10-01
1.6659212142768105	0.8516529336179837	1.035011828490649	0.7706214499722562	1953	11	1953-11-01
1.473554631153997	0.5895504269780186	0.8819848254462738	0.3455082164191855	1953	12	1953-12-01
0.728221403241693	1.7940051006199482	0.8371981363304665	0.693685308185229	1954	1	1954-01-01
1.1014093257572717	0.8225399417588573	0.4392199424897755	1.0618731021273362	1954	2	1954-02-01
0.2056192859639213	0.2988287824508248	0.0928839318489741	-0.8664899980017485	1954	3	1954-03-01
-0.3140079797188187	0.1038707678563489	-0.3013772390158343	0.1257569197065635	1954	4	1954-04-01
-1.5926597342242947	-1.5431044762394936	-1.94372760452564	-1.1339981740628888	1954	5	1954-05-01
-0.1649169940155535	0.138126923603462	0.2893404420250126	0.4300427765623991	1954	6	1954-06-01
0.0078752983035105	0.2749288689687181	0.417000609158853	0.8779721957828789	1954	7	1954-07-01
-0.4928868041223266	-0.1588692985405836	-0.2029450400384477	-0.0857584361949381	1954	8	1954-08-01
